kind	owner	c_name	raku_name	julia_name	version	identity	c_signature	raku_signature	julia_signature	parameter_contract	threading	capability	notes
operation	VtLatticeVTable	diagnostic	abi-cast-lattice-diagnostic	abi_call_lattice_diagnostic	1	vt.lattice.val.1	VtStatus (*diagnostic)(void* context, uint8_t* out_bytes, size_t capacity, size_t* out_written, size_t* out_required)	:(Pointer, Pointer, size_t, size_t is rw, size_t is rw --> int32)	Cint Tuple{Ptr{Cvoid}, Ptr{UInt8}, Csize_t, Ref{Csize_t}, Ref{Csize_t}}	context:input:borrowed,out_bytes:output:borrowed,capacity:input:borrowed,out_written:output:borrowed,out_required:output:borrowed	caller-thread-synchronous	lattice	generated Julia ccall wrapper and typed NativeCall cast
operation	VtLatticeVTable	join_many	abi-cast-lattice-join-many	abi_call_lattice_join_many	1	vt.lattice.val.1	VtStatus (*join_many)(void* context, const VtResource* others, size_t count, VtResource* out_value)	:(Pointer, Pointer, size_t, RawResource --> int32)	Cint Tuple{Ptr{Cvoid}, Ptr{VtResourceRaw}, Csize_t, Ref{VtResourceRaw}}	context:input:borrowed,others:input:borrowed,count:input:borrowed,out_value:output:owned	caller-thread-synchronous	lattice	generated Julia ccall wrapper and typed NativeCall cast
operation	VtLatticeVTable	meet_many	abi-cast-lattice-meet-many	abi_call_lattice_meet_many	1	vt.lattice.val.1	VtStatus (*meet_many)(void* context, const VtResource* others, size_t count, VtResource* out_value)	:(Pointer, Pointer, size_t, RawResource --> int32)	Cint Tuple{Ptr{Cvoid}, Ptr{VtResourceRaw}, Csize_t, Ref{VtResourceRaw}}	context:input:borrowed,others:input:borrowed,count:input:borrowed,out_value:output:owned	caller-thread-synchronous	lattice	generated Julia ccall wrapper and typed NativeCall cast
operation	VtSemiringVTable	zero	abi-cast-semiring-zero	abi_call_semiring_zero	1	vt.semiring.val1	VtStatus (*zero)(void* context, VtSemiringValue* out_value)	:(Pointer, SemiringValue --> int32)	Cint Tuple{Ptr{Cvoid}, Ref{VtSemiringValue}}	context:input:borrowed,out_value:output:owned	caller-thread-synchronous	semiring	generated Julia ccall wrapper and typed NativeCall cast
operation	VtSemiringVTable	one	abi-cast-semiring-one	abi_call_semiring_one	1	vt.semiring.val1	VtStatus (*one)(void* context, VtSemiringValue* out_value)	:(Pointer, SemiringValue --> int32)	Cint Tuple{Ptr{Cvoid}, Ref{VtSemiringValue}}	context:input:borrowed,out_value:output:owned	caller-thread-synchronous	semiring	generated Julia ccall wrapper and typed NativeCall cast
operation	VtSemiringVTable	clone_value	abi-cast-semiring-clone-value	abi_call_semiring_clone_value	1	vt.semiring.val1	VtStatus (*clone_value)(void* context, const VtSemiringValue* value, VtSemiringValue* out_value)	:(Pointer, SemiringValue, SemiringValue --> int32)	Cint Tuple{Ptr{Cvoid}, Ref{VtSemiringValue}, Ref{VtSemiringValue}}	context:input:borrowed,value:input:borrowed,out_value:output:owned	caller-thread-synchronous	semiring	generated Julia ccall wrapper and typed NativeCall cast
operation	VtSemiringVTable	release_values	abi-cast-semiring-release-values	abi_call_semiring_release_values	1	vt.semiring.val1	VtStatus (*release_values)(void* context, VtSemiringValue* values, size_t count)	:(Pointer, Pointer, size_t --> int32)	Cint Tuple{Ptr{Cvoid}, Ptr{VtSemiringValue}, Csize_t}	context:input:borrowed,values:inout:consumed,count:input:borrowed	caller-thread-synchronous	semiring	generated Julia ccall wrapper and typed NativeCall cast
operation	VtSemiringVTable	plus	abi-cast-semiring-plus	abi_call_semiring_plus	1	vt.semiring.val1	VtStatus (*plus)(void* context, const VtSemiringValue* left, const VtSemiringValue* right, VtSemiringValue* out_value)	:(Pointer, SemiringValue, SemiringValue, SemiringValue --> int32)	Cint Tuple{Ptr{Cvoid}, Ref{VtSemiringValue}, Ref{VtSemiringValue}, Ref{VtSemiringValue}}	context:input:borrowed,left:input:borrowed,right:input:borrowed,out_value:output:owned	caller-thread-synchronous	semiring	generated Julia ccall wrapper and typed NativeCall cast
operation	VtSemiringVTable	times	abi-cast-semiring-times	abi_call_semiring_times	1	vt.semiring.val1	VtStatus (*times)(void* context, const VtSemiringValue* left, const VtSemiringValue* right, VtSemiringValue* out_value)	:(Pointer, SemiringValue, SemiringValue, SemiringValue --> int32)	Cint Tuple{Ptr{Cvoid}, Ref{VtSemiringValue}, Ref{VtSemiringValue}, Ref{VtSemiringValue}}	context:input:borrowed,left:input:borrowed,right:input:borrowed,out_value:output:owned	caller-thread-synchronous	semiring	generated Julia ccall wrapper and typed NativeCall cast
operation	VtSemiringVTable	equal	abi-cast-semiring-equal	abi_call_semiring_equal	1	vt.semiring.val1	VtStatus (*equal)(void* context, const VtSemiringValue* left, const VtSemiringValue* right, uint8_t* out_equal)	:(Pointer, SemiringValue, SemiringValue, uint8 is rw --> int32)	Cint Tuple{Ptr{Cvoid}, Ref{VtSemiringValue}, Ref{VtSemiringValue}, Ref{UInt8}}	context:input:borrowed,left:input:borrowed,right:input:borrowed,out_equal:output:borrowed	caller-thread-synchronous	semiring	generated Julia ccall wrapper and typed NativeCall cast
operation	VtSemiringVTable	approx_equal	abi-cast-semiring-approx-equal	abi_call_semiring_approx_equal	1	vt.semiring.val1	VtStatus (*approx_equal)(void* context, const VtSemiringValue* left, const VtSemiringValue* right, double epsilon, uint8_t* out_equal)	:(Pointer, SemiringValue, SemiringValue, num64, uint8 is rw --> int32)	Cint Tuple{Ptr{Cvoid}, Ref{VtSemiringValue}, Ref{VtSemiringValue}, Float64, Ref{UInt8}}	context:input:borrowed,left:input:borrowed,right:input:borrowed,epsilon:input:borrowed,out_equal:output:borrowed	caller-thread-synchronous	semiring	generated Julia ccall wrapper and typed NativeCall cast
